name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,python3,1,14,589,2.014,16152,0,92% 49% 49% 52%,0.841
binarytrees,python3,1,21,589,337.740,280624,0,92% 89% 87% 93%,93.553
binarytrees,csharpcore,4,7,810,0.108,0,0,0% 0% 46% 60%,0.137
binarytrees,csharpcore,4,14,810,0.228,0,0,50% 42% 54% 33%,0.138
binarytrees,csharpcore,4,21,810,26.126,877360,0,80% 80% 81% 79%,8.259
binarytrees,php,5,7,1040,0.024,0,0,14% 0% 17% 83%,0.060
binarytrees,php,5,14,1040,1.101,10424,0,63% 85% 38% 88%,0.407
binarytrees,php,5,21,1040,222.044,736908,0,91% 95% 0% 95%,79.007
binarytrees,swift,9,7,1001,0.019,0,0,0% 0% 70% 0%,0.082
binarytrees,swift,9,14,1001,0.105,0,0,40% 60% 100% 50%,0.052
binarytrees,swift,9,21,1001,14.171,192172,0,60% 60% 63% 100%,5.053
binarytrees,fpascal,1,7,715,0.002,0,0,0% 0% 100% 0%,0.020
binarytrees,fpascal,1,14,715,0.156,0,0,0% 19% 100% 6%,0.157
binarytrees,fpascal,1,21,715,36.397,262180,0,100% 1% 1% 0%,36.424
binarytrees,go,7,7,525,0.003,0,0,%,0.000
binarytrees,go,7,14,525,0.357,948,0,57% 19% 24% 25%,0.285
binarytrees,go,7,21,525,101.848,256892,0,46% 42% 45% 43%,58.116
binarytrees,yarv,1,7,376,0.070,0,0,0% 0% 88% 13%,0.072
binarytrees,yarv,1,14,376,0.961,11184,0,100% 3% 0% 1%,0.963
binarytrees,yarv,1,21,376,170.859,549480,0,1% 1% 0% 100%,170.999
binarytrees,fsharpcore,7,7,516,0.240,768,0,0% 0% 92% 12%,0.235
binarytrees,fsharpcore,7,14,516,0.475,792,0,21% 27% 22% 85%,0.335
binarytrees,fsharpcore,7,21,516,51.179,1220380,0,78% 79% 79% 81%,16.997
binarytrees,java,4,7,840,0.419,2224,0,44% 36% 50% 44%,0.252
binarytrees,java,4,14,840,0.562,2236,0,69% 30% 40% 37%,0.337
binarytrees,java,4,21,840,16.910,786092,0,45% 39% 25% 30%,12.374
binarytrees,php,3,7,428,0.010,0,0,50% 100% 0% 0%,0.018
binarytrees,php,3,14,428,0.672,21908,0,0% 4% 100% 0%,0.675
binarytrees,php,3,21,428,223.651,1551796,0,5% 13% 19% 66%,223.816
binarytrees,go,2,7,660,0.003,0,0,%,0.000
binarytrees,go,2,14,660,0.401,0,0,77% 79% 69% 86%,0.134
binarytrees,go,2,21,660,115.730,414780,0,97% 95% 96% 96%,30.231
binarytrees,sbcl,3,7,943,0.012,0,0,0% 0% 100% 0%,0.012
binarytrees,sbcl,3,14,943,0.116,0,0,75% 67% 50% 75%,0.052
binarytrees,sbcl,3,21,943,24.246,311372,0,77% 49% 47% 44%,11.631
binarytrees,gcc,1,7,654,0.002,0,0,%,0.000
binarytrees,gcc,1,14,654,0.151,0,0,7% 7% 100% 0%,0.153
binarytrees,gcc,1,21,654,37.064,263700,0,0% 1% 0% 100%,37.090
binarytrees,gpp,9,7,809,0.012,0,0,%,0.000
binarytrees,gpp,9,14,809,0.059,0,0,100% 67% 50% 67%,0.030
binarytrees,gpp,9,21,809,7.988,135568,0,85% 96% 69% 66%,2.549
binarytrees,gnat,3,7,1266,0.011,0,0,100% 33% 0% 100%,0.020
